City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hasaki,JP,35.7333,140.8333,59.4,32,1,11.36,clear sky
79,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,83,0,5.01,clear sky
80,Touros,BR,-5.1989,-35.4608,77.9,79,96,10.92,overcast clouds
81,Hamilton,US,39.1834,-84.5333,34.93,69,1,0.0,clear sky
82,Siocon,PH,7.7061,122.1353,88.25,66,62,9.66,broken clouds
83,New Norfolk,AU,-42.7826,147.0587,74.75,51,100,1.99,overcast clouds
84,Ancud,CL,-41.8697,-73.8203,56.73,96,9,3.33,clear sky
85,Kavaratti,IN,10.5669,72.642,80.04,81,100,9.19,moderate rain
86,Nome,US,64.5011,-165.4064,8.67,61,20,23.02,few clouds
87,Yar-Sale,RU,66.8333,70.8333,8.08,95,99,8.3,overcast clouds
88,Bluff,NZ,-46.6,168.3333,57.97,70,100,13.27,overcast clouds
89,Port Alfred,ZA,-33.5906,26.891,61.65,75,90,12.48,light rain
90,San Quintin,MX,30.4833,-115.95,61.7,85,6,5.08,clear sky
91,Asau,RO,46.4333,26.4,38.39,89,99,0.87,overcast clouds
92,Clyde River,CA,70.4692,-68.5914,17.83,86,100,26.46,snow
93,Saint-Philippe,RE,-21.3585,55.7679,80.47,65,26,8.16,scattered clouds
94,Nichinan,JP,31.6,131.3667,58.68,54,53,10.36,broken clouds
95,Broome,US,42.2506,-75.833,27.66,81,1,1.01,clear sky
96,Bilma,NE,18.6853,12.9164,72.5,22,0,7.38,clear sky
97,Angoche,MZ,-16.2325,39.9086,79.5,76,68,11.72,broken clouds
98,Upernavik,GL,72.7868,-56.1549,5.97,61,100,6.82,overcast clouds
99,Belmonte,BR,-15.8631,-38.8828,73.9,92,15,4.79,few clouds
100,Olinda,BR,-8.0089,-34.8553,82.13,74,40,5.75,scattered clouds
101,Portland,US,45.5234,-122.6762,45.25,92,40,0.0,scattered clouds
102,Dikson,RU,73.5069,80.5464,5.52,90,100,9.22,overcast clouds
103,Presidente Epitacio,BR,-21.7633,-52.1156,77.16,36,100,3.31,overcast clouds
104,Cape Town,ZA,-33.9258,18.4232,64.11,63,0,14.97,clear sky
105,Talnakh,RU,69.4865,88.3972,7.14,93,96,9.42,overcast clouds
106,Chimbarongo,CL,-34.7,-71.05,58.08,90,0,2.57,clear sky
107,Barrow,US,71.2906,-156.7887,3.22,78,90,11.5,overcast clouds
108,Torbay,CA,47.6666,-52.7314,44.28,97,90,33.38,light intensity drizzle
109,Tautira,PF,-17.7333,-149.15,82.42,72,49,6.24,scattered clouds
110,Ixtapa,MX,20.7,-105.2,78.03,78,40,2.3,scattered clouds
111,Chokurdakh,RU,70.6333,147.9167,-22.38,98,100,3.42,overcast clouds
112,Khatanga,RU,71.9667,102.5,-1.86,83,100,11.41,overcast clouds
113,Nortelandia,BR,-14.4547,-56.8028,73.83,93,72,2.68,broken clouds
114,Pevek,RU,69.7008,170.3133,-20.29,98,100,4.14,overcast clouds
115,Semnan,IR,35.5729,53.3971,46.45,62,0,1.05,clear sky
116,Hobart,AU,-42.8794,147.3294,74.23,65,75,1.01,broken clouds
117,Neiafu,TO,-18.65,-173.9833,83.08,74,75,3.44,broken clouds
118,Lavrentiya,RU,65.5833,-171.0,0.52,89,2,7.81,clear sky
119,Weyburn,CA,49.6668,-103.8511,32.22,93,100,18.41,snow
120,Butaritari,KI,3.0707,172.7902,82.2,71,98,12.06,overcast clouds
